1. Task: 0 | Trial: 0 | Reward: ✅ | Duration: 23.51s | DB Match: YES | 
304. Task: 11 | Trial: 6 | Reward: ❌ | Duration: 89.76s | DB Match: NO | 
305. Task: 12 | Trial: 6 | Reward: ❌ | Duration: 72.31s | DB Match: NO | 
306. Task: 13 | Trial: 6 | Reward: ✅ | Duration: 35.32s | DB Match: YES | 
307. Task: 14 | Trial: 6 | Reward: ❌ | Duration: 125.73s | DB Match: NO | 
308. Task: 15 | Trial: 6 | Reward: ❌ | Duration: 29.02s | DB Match: NO | 
309. Task: 16 | Trial: 6 | Reward: ❌ | Duration: 38.73s | DB Match: NO | 
310. Task: 17 | Trial: 6 | Reward: ❌ | Duration: 63.27s | DB Match: NO | 
311. Task: 18 | Trial: 6 | Reward: ✅ | Duration: 227.15s | DB Match: YES | 
312. Task: 19 | Trial: 6 | Reward: ❌ | Duration: 44.32s | DB Match: NO | 
313. Task: 2 | Trial: 6 | Reward: ❌ | Duration: 80.26s | DB Match: NO | 
314. Task: 20 | Trial: 6 | Reward: ❌ | Duration: 36.32s | DB Match: NO | 
315. Task: 21 | Trial: 6 | Reward: ❌ | Duration: 42.08s | DB Match: NO | 
316. Task: 22 | Trial: 6 | Reward: ❌ | Duration: 46.36s | DB Match: NO | 
317. Task: 23 | Trial: 6 | Reward: ❌ | Duration: 178.94s | DB Match: NO | 
318. Task: 24 | Trial: 6 | Reward: ❌ | Duration: 25.76s | DB Match: NO | 
319. Task: 25 | Trial: 6 | Reward: ❌ | Duration: 108.25s | DB Match: NO | 
320. Task: 26 | Trial: 6 | Reward: ✅ | Duration: 30.15s | DB Match: YES | 
321. Task: 27 | Trial: 6 | Reward: ❌ | Duration: 92.03s | DB Match: NO | 
322. Task: 28 | Trial: 6 | Reward: ✅ | Duration: 20.63s | DB Match: YES | 
323. Task: 29 | Trial: 6 | Reward: ❌ | Duration: 39.61s | DB Match: NO | 
324. Task: 3 | Trial: 6 | Reward: ✅ | Duration: 44.53s | DB Match: YES | 
325. Task: 30 | Trial: 6 | Reward: ✅ | Duration: 61.72s | DB Match: YES | 
326. Task: 31 | Trial: 6 | Reward: ✅ | Duration: 21.63s | DB Match: YES | 
327. Task: 32 | Trial: 6 | Reward: ❌ | Duration: 58.39s | DB Match: NO | 
328. Task: 33 | Trial: 6 | Reward: ❌ | Duration: 156.55s | DB Match: NO | 
329. Task: 34 | Trial: 6 | Reward: ✅ | Duration: 44.17s | DB Match: YES | 
330. Task: 35 | Trial: 6 | Reward: ❌ | Duration: 152.95s | DB Match: NO | 
331. Task: 36 | Trial: 6 | Reward: ✅ | Duration: 21.85s | DB Match: YES | 
332. Task: 37 | Trial: 6 | Reward: ❌ | Duration: 42.51s | DB Match: NO | 
333. Task: 38 | Trial: 6 | Reward: ❌ | Duration: 8.19s | DB Match: NO | 
334. Task: 39 | Trial: 6 | Reward: ❌ | Duration: 38.36s | DB Match: NO | 
335. Task: 4 | Trial: 6 | Reward: ✅ | Duration: 91.25s | DB Match: YES | 
336. Task: 40 | Trial: 6 | Reward: ✅ | Duration: 27.12s | DB Match: YES | 
337. Task: 41 | Trial: 6 | Reward: ✅ | Duration: 57.29s | DB Match: YES | 
338. Task: 42 | Trial: 6 | Reward: ❌ | Duration: 95.07s | DB Match: NO | 
339. Task: 43 | Trial: 6 | Reward: ✅ | Duration: 40.96s | DB Match: YES | 
340. Task: 44 | Trial: 6 | Reward: ❌ | Duration: 75.46s | DB Match: NO | 
341. Task: 45 | Trial: 6 | Reward: ✅ | Duration: 52.37s | DB Match: YES | 
342. Task: 46 | Trial: 6 | Reward: ✅ | Duration: 27.26s | DB Match: YES | 
343. Task: 47 | Trial: 6 | Reward: ✅ | Duration: 81.56s | DB Match: YES | 
344. Task: 48 | Trial: 6 | Reward: ✅ | Duration: 21.89s | DB Match: YES | 
345. Task: 49 | Trial: 6 | Reward: ✅ | Duration: 21.12s | DB Match: YES | 
346. Task: 5 | Trial: 6 | Reward: ✅ | Duration: 38.85s | DB Match: YES | 
347. Task: 6 | Trial: 6 | Reward: ✅ | Duration: 60.61s | DB Match: YES | 
348. Task: 7 | Trial: 6 | Reward: ❌ | Duration: 73.49s | DB Match: NO | 
349. Task: 8 | Trial: 6 | Reward: ❌ | Duration: 125.59s | DB Match: NO | 
350. Task: 9 | Trial: 6 | Reward: ❌ | Duration: 42.08s | DB Match: NO | 
351. Task: 0 | Trial: 7 | Reward: ✅ | Duration: 21.15s | DB Match: YES | 
352. Task: 1 | Trial: 7 | Reward: ✅ | Duration: 74.73s | DB Match: YES | 
353. Task: 10 | Trial: 7 | Reward: ✅ | Duration: 50.54s | DB Match: YES | 
354. Task: 11 | Trial: 7 | Reward: ❌ | Duration: 47.35s | DB Match: NO | 
355. Task: 12 | Trial: 7 | Reward: ❌ | Duration: 21.70s | DB Match: NO | 
356. Task: 13 | Trial: 7 | Reward: ✅ | Duration: 16.31s | DB Match: YES | 
357. Task: 14 | Trial: 7 | Reward: ❌ | Duration: 10.88s | DB Match: NO | 
358. Task: 15 | Trial: 7 | Reward: ❌ | Duration: 29.00s | DB Match: NO | 
359. Task: 16 | Trial: 7 | Reward: ❌ | Duration: 23.83s | DB Match: NO | 
360. Task: 17 | Trial: 7 | Reward: ✅ | Duration: 97.47s | DB Match: YES | 
361. Task: 18 | Trial: 7 | Reward: ❌ | Duration: 38.16s | DB Match: NO | 
362. Task: 19 | Trial: 7 | Reward: ❌ | Duration: 25.07s | DB Match: NO | 
363. Task: 2 | Trial: 7 | Reward: ❌ | Duration: 79.53s | DB Match: NO | 
364. Task: 20 | Trial: 7 | Reward: ❌ | Duration: 47.62s | DB Match: NO | 
365. Task: 21 | Trial: 7 | Reward: ❌ | Duration: 61.15s | DB Match: NO | 
366. Task: 22 | Trial: 7 | Reward: ❌ | Duration: 31.31s | DB Match: NO | 
367. Task: 23 | Trial: 7 | Reward: ❌ | Duration: 62.39s | DB Match: NO | 
368. Task: 24 | Trial: 7 | Reward: ❌ | Duration: 48.36s | DB Match: NO | 
369. Task: 25 | Trial: 7 | Reward: ✅ | Duration: 87.24s | DB Match: YES | 
370. Task: 26 | Trial: 7 | Reward: ✅ | Duration: 26.63s | DB Match: YES | 
371. Task: 27 | Trial: 7 | Reward: ❌ | Duration: 73.58s | DB Match: NO | 
372. Task: 28 | Trial: 7 | Reward: ✅ | Duration: 30.91s | DB Match: YES | 
373. Task: 29 | Trial: 7 | Reward: ❌ | Duration: 66.94s | DB Match: NO | 
374. Task: 3 | Trial: 7 | Reward: ✅ | Duration: 48.38s | DB Match: YES | 
375. Task: 30 | Trial: 7 | Reward: ❌ | Duration: 17.46s | DB Match: NO | 
376. Task: 31 | Trial: 7 | Reward: ✅ | Duration: 31.67s | DB Match: YES | 
377. Task: 32 | Trial: 7 | Reward: ❌ | Duration: 52.89s | DB Match: NO | 
378. Task: 33 | Trial: 7 | Reward: ❌ | Duration: 38.99s | DB Match: NO | 
379. Task: 34 | Trial: 7 | Reward: ✅ | Duration: 38.17s | DB Match: YES | 
380. Task: 35 | Trial: 7 | Reward: ❌ | Duration: 112.85s | DB Match: NO | 
381. Task: 36 | Trial: 7 | Reward: ✅ | Duration: 28.09s | DB Match: YES | 
382. Task: 37 | Trial: 7 | Reward: ❌ | Duration: 46.30s | DB Match: NO | 
383. Task: 38 | Trial: 7 | Reward: ❌ | Duration: 18.65s | DB Match: NO | 
384. Task: 39 | Trial: 7 | Reward: ❌ | Duration: 36.92s | DB Match: NO | 
385. Task: 4 | Trial: 7 | Reward: ✅ | Duration: 71.78s | DB Match: YES | 
386. Task: 40 | Trial: 7 | Reward: ✅ | Duration: 30.42s | DB Match: YES | 
387. Task: 41 | Trial: 7 | Reward: ✅ | Duration: 48.43s | DB Match: YES | 
388. Task: 42 | Trial: 7 | Reward: ❌ | Duration: 95.09s | DB Match: NO | 
389. Task: 43 | Trial: 7 | Reward: ✅ | Duration: 30.84s | DB Match: YES | 
390. Task: 44 | Trial: 7 | Reward: ✅ | Duration: 123.12s | DB Match: YES | 
391. Task: 45 | Trial: 7 | Reward: ✅ | Duration: 54.50s | DB Match: YES | 
392. Task: 46 | Trial: 7 | Reward: ✅ | Duration: 9.54s | DB Match: YES | 
393. Task: 47 | Trial: 7 | Reward: ✅ | Duration: 78.51s | DB Match: YES | 
394. Task: 48 | Trial: 7 | Reward: ✅ | Duration: 30.34s | DB Match: YES | 
395. Task: 49 | Trial: 7 | Reward: ✅ | Duration: 23.30s | DB Match: YES | 
396. Task: 5 | Trial: 7 | Reward: ✅ | Duration: 86.17s | DB Match: YES | 
397. Task: 6 | Trial: 7 | Reward: ✅ | Duration: 157.34s | DB Match: YES | 
398. Task: 7 | Trial: 7 | Reward: ❌ | Duration: 44.60s | DB Match: NO | 
399. Task: 8 | Trial: 7 | Reward: ❌ | Duration: 81.78s | DB Match: NO | 
400. Task: 9 | Trial: 7 | Reward: ❌ | Duration: 72.33s | DB Match: NO | 
